created_at,entry_id,field1,field2,field3,field4
2018-12-28 16:15:28 UTC,195,,,9.746543505282295,
2018-12-28 16:16:56 UTC,196,20.466,,,
2018-12-28 16:17:21 UTC,197,20.423,,,
2018-12-28 16:17:46 UTC,198,,50.947,,
2018-12-28 16:20:05 UTC,199,,,,1
2018-12-28 16:20:29 UTC,200,,,9.910536636431937,
2018-12-28 16:22:51 UTC,201,20.634,,,
2018-12-28 16:23:16 UTC,202,,50.834,,
2018-12-28 16:25:05 UTC,203,,,,1
2018-12-28 16:25:28 UTC,204,,,10.07177532803471,
2018-12-28 16:28:21 UTC,205,20.960,,,
2018-12-28 16:28:46 UTC,206,,50.475,,
2018-12-28 16:30:04 UTC,207,,,,1
2018-12-28 16:30:29 UTC,208,,,10.26578993528828,
2018-12-28 16:33:51 UTC,209,21.227,,,
2018-12-28 16:34:16 UTC,210,21.213,,,
2018-12-28 16:34:41 UTC,211,,50.127,,
2018-12-28 16:35:05 UTC,212,,,,1
2018-12-28 16:35:28 UTC,213,,,10.3947446874904,
2018-12-28 16:39:46 UTC,214,21.427,,,
2018-12-28 16:40:05 UTC,215,,,,1
2018-12-28 16:40:30 UTC,216,,,10.59160415610264,
2018-12-28 16:41:01 UTC,217,,49.995,,
2018-12-28 16:45:05 UTC,218,,,,1
2018-12-28 16:45:28 UTC,219,,,10.55193229177396,
2018-12-28 16:46:06 UTC,220,21.667,,,
2018-12-28 16:46:31 UTC,221,,49.827,,
2018-12-28 16:50:05 UTC,222,,,,1
2018-12-28 16:50:29 UTC,223,,,10.72191161781245,
2018-12-28 16:51:36 UTC,224,21.750,,,
2018-12-28 16:52:01 UTC,225,,49.749,,
2018-12-28 16:55:05 UTC,226,,,,1
2018-12-28 16:55:29 UTC,227,,,10.77458935343872,
2018-12-28 16:57:07 UTC,228,21.881,,,
2018-12-28 16:57:31 UTC,229,,49.528,,
2018-12-28 16:57:57 UTC,230,,49.433,,
2018-12-28 16:58:22 UTC,231,,49.459,,
2018-12-28 17:00:06 UTC,232,,,,1
2018-12-28 17:00:29 UTC,233,,,10.80681580675449,
2018-12-28 17:03:27 UTC,234,21.993,,,
2018-12-28 17:03:52 UTC,235,,49.566,,
2018-12-28 17:05:11 UTC,236,,,,1
2018-12-28 17:05:28 UTC,237,,,10.94226686066318,
2018-12-28 17:08:57 UTC,238,22.020,,,
2018-12-28 17:09:22 UTC,239,,49.653,,
2018-12-28 17:10:06 UTC,240,,,,1
2018-12-28 17:10:29 UTC,241,,,10.99353611381257,
2018-12-28 17:14:27 UTC,242,22.049,,,
2018-12-28 17:14:52 UTC,243,,49.633,,
2018-12-28 17:15:17 UTC,244,,49.560,,
2018-12-28 17:20:05 UTC,245,,,,1
2018-12-28 17:20:22 UTC,246,22.105,,,
2018-12-28 17:20:47 UTC,247,,49.355,,
2018-12-28 17:25:05 UTC,248,,,,1
2018-12-28 17:25:28 UTC,249,,,10.98072749928082,
2018-12-28 17:25:52 UTC,250,22.092,,,
2018-12-28 17:26:17 UTC,251,,49.241,,
2018-12-28 17:30:05 UTC,252,,,,1
2018-12-28 17:30:29 UTC,253,,,10.93389724274132,
2018-12-28 17:31:22 UTC,254,22.076,,,
2018-12-28 17:31:47 UTC,255,,49.216,,
2018-12-28 17:32:12 UTC,256,,49.236,,
2018-12-28 17:35:04 UTC,257,,,,1
2018-12-28 17:35:28 UTC,258,,,10.91768135981332,
2018-12-28 17:37:01 UTC,259,,,10.91768135981332,
2018-12-28 17:37:18 UTC,260,22.063,,,
2018-12-28 17:37:42 UTC,261,22.105,,,
2018-12-28 17:38:07 UTC,262,,49.120,,
2018-12-28 17:38:45 UTC,263,,,10.90870723809694,
2018-12-28 17:39:20 UTC,264,,,10.90870723809694,
2018-12-28 17:39:38 UTC,265,,,10.90870723809694,
2018-12-28 17:40:01 UTC,266,,,10.90870723809694,
2018-12-28 17:40:29 UTC,267,,,10.90870723809694,
2018-12-28 17:43:12 UTC,268,22.063,,,
2018-12-28 17:43:37 UTC,269,,48.933,,
2018-12-28 17:45:05 UTC,270,,,,1
2018-12-28 17:45:28 UTC,271,,,10.81266365240641,
2018-12-28 17:48:42 UTC,272,22.063,,,
2018-12-28 17:49:07 UTC,273,,48.920,,
2018-12-28 17:50:05 UTC,274,,,,1
2018-12-28 17:50:30 UTC,275,,,10.80865845921202,
2018-12-28 17:54:13 UTC,276,22.036,,,
2018-12-28 17:54:38 UTC,277,,48.870,,
2018-12-28 17:55:06 UTC,278,,,,1
2018-12-28 17:55:29 UTC,279,,,10.76848799971243,
2018-12-28 17:59:43 UTC,280,22.007,,,
